descrip,mapdate,mapscale,province,category,source,maptype,class,shape_leng,shape_area,source_file
SAN MANUEL LOAM,1968,250000,Surigao Del Sur,SAN MANUEL LOAM,Surigao_DelSur_Soil_250thsnd_1,SOIL,190.0,0,0,KODA_Datasets - Surigao Del Sur Soil Data.csv
,1968,250000,Surigao Del Sur,,Surigao_DelSur_Soil_250thsnd_1,SOIL,853.0,0,0,KODA_Datasets - Surigao Del Sur Soil Data.csv
HYDROSOL,1968,250000,Surigao Del Sur,HYDROSOL,Surigao_DelSur_Soil_250thsnd_1,SOIL,1.0,0,0,KODA_Datasets - Surigao Del Sur Soil Data.csv
,1968,250000,Surigao Del Sur,,Surigao_DelSur_Soil_250thsnd_1,SOIL,1094.0,0,0,KODA_Datasets - Surigao Del Sur Soil Data.csv
,1968,250000,Surigao Del Sur,,Surigao_DelSur_Soil_250thsnd_1,SOIL,1002.0,0,0,KODA_Datasets - Surigao Del Sur Soil Data.csv
MOUNTAIN SOILS,1968,250000,Surigao Del Sur,MOUNTAIN SOILS,Surigao_DelSur_Soil_250thsnd_1,SOIL,45.0,0,0,KODA_Datasets - Surigao Del Sur Soil Data.csv
BEACH SAND,1968,250000,Surigao Del Sur,BEACH SAND,Surigao_DelSur_Soil_250thsnd_1,SOIL,118.0,0,0,KODA_Datasets - Surigao Del Sur Soil Data.csv
QUINQUD CLAY LOAM,1968,250000,Surigao Del Sur,QUINQUD CLAY LOAM,Surigao_DelSur_Soil_250thsnd_1,SOIL,109.0,0,0,KODA_Datasets - Surigao Del Sur Soil Data.csv
,1968,250000,Surigao Del Sur,,Surigao_DelSur_Soil_250thsnd_1,SOIL,1003.0,0,0,KODA_Datasets - Surigao Del Sur Soil Data.csv
BANTOG CLAY,1968,250000,Surigao Del Sur,BANTOG CLAY,Surigao_DelSur_Soil_250thsnd_1,SOIL,228.0,0,0,KODA_Datasets - Surigao Del Sur Soil Data.csv
CAMANSA CLAY LOAM,1968,250000,Surigao Del Sur,CAMANSA CLAY LOAM,Surigao_DelSur_Soil_250thsnd_1,SOIL,575.0,0,0,KODA_Datasets - Surigao Del Sur Soil Data.csv
BOLINAO CLAY,1969,250000,Zamboanga Del Norte,BOLINAO CLAY,ZamboangaDelNorte_SoilMap,SOIL,153.0,0,0,KODA_Datasets - Zamboanga Del Norte Soil Data.csv
SAN MANUEL SILT LOAM,1969,250000,Zamboanga Del Norte,SAN MANUEL SILT LOAM,ZamboangaDelNorte_SoilMap,SOIL,82.0,0,0,KODA_Datasets - Zamboanga Del Norte Soil Data.csv
HYDROSOL,1969,250000,Zamboanga Del Norte,HYDROSOL,ZamboangaDelNorte_SoilMap,SOIL,1.0,0,0,KODA_Datasets - Zamboanga Del Norte Soil Data.csv
PANABOTAN SANDY LOAM,1969,250000,Zamboanga Del Norte,PANABOTAN SANDY LOAM,ZamboangaDelNorte_SoilMap,SOIL,1015.0,0,0,KODA_Datasets - Zamboanga Del Norte Soil Data.csv
S. MANUEL CLAY LOAM,1969,250000,Zamboanga Del Norte,S. MANUEL CLAY LOAM,ZamboangaDelNorte_SoilMap,SOIL,236.0,0,0,KODA_Datasets - Zamboanga Del Norte Soil Data.csv
MOUNTAIN SOILS,1969,250000,Zamboanga Del Norte,MOUNTAIN SOILS,ZamboangaDelNorte_SoilMap,SOIL,45.0,0,0,KODA_Datasets - Zamboanga Del Norte Soil Data.csv
LUISIANA CLAY,1969,250000,Zamboanga Del Norte,LUISIANA CLAY,ZamboangaDelNorte_SoilMap,SOIL,239.0,0,0,KODA_Datasets - Zamboanga Del Norte Soil Data.csv
NOVALICHES CLAY LOAM,1969,250000,Zamboanga Del Norte,NOVALICHES CLAY LOAM,ZamboangaDelNorte_SoilMap,SOIL,12.0,0,0,KODA_Datasets - Zamboanga Del Norte Soil Data.csv
LUISIANA-JASOAN COMPLEX,1969,250000,Zamboanga Del Norte,LUISIANA-JASOAN COMPLEX,ZamboangaDelNorte_SoilMap,SOIL,1018.0,0,0,KODA_Datasets - Zamboanga Del Norte Soil Data.csv
LA COSTELLANA-JASOAN LUISIANA COMPLEX,1969,250000,Zamboanga Del Norte,LA COSTELLANA-JASOAN LUISIANA COMPLEX,ZamboangaDelNorte_SoilMap,SOIL,1017.0,0,0,KODA_Datasets - Zamboanga Del Norte Soil Data.csv
ADTUYAN LOAM,1969,250000,Zamboanga Del Norte,ADTUYAN LOAM,ZamboangaDelNorte_SoilMap,SOIL,523.0,0,0,KODA_Datasets - Zamboanga Del Norte Soil Data.csv
ADTUYAN CLAY LOAM,1969,250000,Zamboanga Del Norte,ADTUYAN CLAY LOAM,ZamboangaDelNorte_SoilMap,SOIL,573.0,0,0,KODA_Datasets - Zamboanga Del Norte Soil Data.csv
CASTILLA CLAY LOAM,1969,250000,Zamboanga Del Norte,CASTILLA CLAY LOAM,ZamboangaDelNorte_SoilMap,SOIL,244.0,0,0,KODA_Datasets - Zamboanga Del Norte Soil Data.csv
ADUTYON CLAY,1969,250000,Zamboanga Del Norte,ADUTYON CLAY,ZamboangaDelNorte_SoilMap,SOIL,323.0,0,0,KODA_Datasets - Zamboanga Del Norte Soil Data.csv
ROCK LAND,1969,250000,Zamboanga Del Norte,ROCK LAND,ZamboangaDelNorte_SoilMap,SOIL,599.0,0,0,KODA_Datasets - Zamboanga Del Norte Soil Data.csv
DOHINOB CLAY,1969,250000,Zamboanga Del Norte,DOHINOB CLAY,ZamboangaDelNorte_SoilMap,SOIL,727.0,0,0,KODA_Datasets - Zamboanga Del Norte Soil Data.csv
MANDAW CLAY LOAM,1969,250000,Zamboanga Del Norte,MANDAW CLAY LOAM,ZamboangaDelNorte_SoilMap,SOIL,157.0,0,0,KODA_Datasets - Zamboanga Del Norte Soil Data.csv
ISABELA CLAY,1969,250000,Zamboanga Del Norte,ISABELA CLAY,ZamboangaDelNorte_SoilMap,SOIL,256.0,0,0,KODA_Datasets - Zamboanga Del Norte Soil Data.csv
SILAY LOAMY SAND,1969,250000,Zamboanga Del Norte,SILAY LOAMY SAND,ZamboangaDelNorte_SoilMap,SOIL,1072.0,0,0,KODA_Datasets - Zamboanga Del Norte Soil Data.csv
LAWIGAN LOAMY SAND,1969,250000,Zamboanga Del Norte,LAWIGAN LOAMY SAND,ZamboangaDelNorte_SoilMap,SOIL,1014.0,0,0,KODA_Datasets - Zamboanga Del Norte Soil Data.csv
MIRAL SANDY LOAM,1969,250000,Zamboanga Del Norte,MIRAL SANDY LOAM,ZamboangaDelNorte_SoilMap,SOIL,1073.0,0,0,KODA_Datasets - Zamboanga Del Norte Soil Data.csv
QUINQUD CLAY LOAM,1969,250000,Zamboanga Del Norte,QUINQUD CLAY LOAM,ZamboangaDelNorte_SoilMap,SOIL,109.0,0,0,KODA_Datasets - Zamboanga Del Norte Soil Data.csv
LIMESTONE ROCK LAND,1969,250000,Zamboanga Del Norte,LIMESTONE ROCK LAND,ZamboangaDelNorte_SoilMap,SOIL,581.0,0,0,KODA_Datasets - Zamboanga Del Norte Soil Data.csv
PAETE LOAM,1969,250000,Zamboanga Del Norte,PAETE LOAM,ZamboangaDelNorte_SoilMap,SOIL,1074.0,0,0,KODA_Datasets - Zamboanga Del Norte Soil Data.csv
BOLINCO-PAONANCO DOHINOB COMPLEX,1969,250000,Zamboanga Del Norte,BOLINCO-PAONANCO DOHINOB COMPLEX,ZamboangaDelNorte_SoilMap,SOIL,1016.0,0,0,KODA_Datasets - Zamboanga Del Norte Soil Data.csv
FARAON SANDY LOAM,1969,250000,Zamboanga Del Norte,FARAON SANDY LOAM,ZamboangaDelNorte_SoilMap,SOIL,258.0,0,0,KODA_Datasets - Zamboanga Del Norte Soil Data.csv
MALIGAYA CLAY LOAM,1969,250000,Zamboanga Del Norte,MALIGAYA CLAY LOAM,ZamboangaDelNorte_SoilMap,SOIL,117.0,0,0,KODA_Datasets - Zamboanga Del Norte Soil Data.csv
BEACH SAND,1969,250000,Zamboanga Del Norte,BEACH SAND,ZamboangaDelNorte_SoilMap,SOIL,118.0,0,0,KODA_Datasets - Zamboanga Del Norte Soil Data.csv
