descrip,mapdate,mapscale,province,category,source,maptype,class,shape_leng,shape_area,source_file
,1988,250000,Bukidnon,FARAGON CLAY,Bukiddon_Soil_250thsnd_1,SOIL,132.0,0,0,KODA_Datasets - Bukidnon Soil Data.csv
PARANG CLAY LOAM,1947,250000,Cotabato,PARANG CLAY LOAM,CotabatoProvince_SoilMap,SOIL,431.0,0,0,KODA_Datasets - Cotabato Soil Data.csv
TAMONTAKA CLAY,1947,250000,Cotabato,TAMONTAKA CLAY,CotabatoProvince_SoilMap,SOIL,435.0,0,0,KODA_Datasets - Cotabato Soil Data.csv
MOUNTAIN SOILS,1947,250000,Cotabato,MOUNTAIN SOILS,CotabatoProvince_SoilMap,SOIL,45.0,0,0,KODA_Datasets - Cotabato Soil Data.csv
MALALOG LOAM,1947,250000,Cotabato,MALALOG LOAM,CotabatoProvince_SoilMap,SOIL,213.0,0,0,KODA_Datasets - Cotabato Soil Data.csv
MADUNGO CLAY LOAM,1947,250000,Cotabato,MADUNGO CLAY LOAM,CotabatoProvince_SoilMap,SOIL,212.0,0,0,KODA_Datasets - Cotabato Soil Data.csv
NUPOL SANDY LOAM,1947,250000,Cotabato,NUPOL SANDY LOAM,CotabatoProvince_SoilMap,SOIL,439.0,0,0,KODA_Datasets - Cotabato Soil Data.csv
MALALAG FINE SANDY LOAM,1947,250000,Cotabato,MALALAG FINE SANDY LOAM,CotabatoProvince_SoilMap,SOIL,442.0,0,0,KODA_Datasets - Cotabato Soil Data.csv
DADIANGAS SANDY LOAM,1947,250000,Cotabato,DADIANGAS SANDY LOAM,CotabatoProvince_SoilMap,SOIL,437.0,0,0,KODA_Datasets - Cotabato Soil Data.csv
MAKAR LOAM,1947,250000,Cotabato,MAKAR LOAM,CotabatoProvince_SoilMap,SOIL,444.0,0,0,KODA_Datasets - Cotabato Soil Data.csv
TUPI FINE SANDY LOAM,1947,250000,Cotabato,TUPI FINE SANDY LOAM,CotabatoProvince_SoilMap,SOIL,270.0,0,0,KODA_Datasets - Cotabato Soil Data.csv
KIDAPAWAN SANDY CLAY LOAM,1947,250000,Cotabato,KIDAPAWAN SANDY CLAY LOAM,CotabatoProvince_SoilMap,SOIL,583.0,0,0,KODA_Datasets - Cotabato Soil Data.csv
KIDAPOWAN CLAY LOAM,1947,250000,Cotabato,KIDAPOWAN CLAY LOAM,CotabatoProvince_SoilMap,SOIL,211.0,0,0,KODA_Datasets - Cotabato Soil Data.csv
"SOILS, UNDIFFERENTIATED",1947,250000,Cotabato,"SOILS, UNDIFFERENTIATED",CotabatoProvince_SoilMap,SOIL,433.0,0,0,KODA_Datasets - Cotabato Soil Data.csv
TIMAGA CLAY LOAM,1947,250000,Cotabato,TIMAGA CLAY LOAM,CotabatoProvince_SoilMap,SOIL,630.0,0,0,KODA_Datasets - Cotabato Soil Data.csv
HYDROSOL,1947,250000,Cotabato,HYDROSOL,CotabatoProvince_SoilMap,SOIL,1.0,0,0,KODA_Datasets - Cotabato Soil Data.csv
SAN MANUEL LOAM,1947,250000,Cotabato,SAN MANUEL LOAM,CotabatoProvince_SoilMap,SOIL,190.0,0,0,KODA_Datasets - Cotabato Soil Data.csv
QUILADA SANDY CLAY LOAM,1947,250000,Cotabato,QUILADA SANDY CLAY LOAM,CotabatoProvince_SoilMap,SOIL,451.0,0,0,KODA_Datasets - Cotabato Soil Data.csv
NOT ON LEGEND,1947,250000,Cotabato,NOT ON LEGEND,CotabatoProvince_SoilMap,SOIL,481.0,0,0,KODA_Datasets - Cotabato Soil Data.csv
LA COSTALLENA CLAYLOAM,1947,250000,Cotabato,LA COSTALLENA CLAYLOAM,CotabatoProvince_SoilMap,SOIL,305.0,0,0,KODA_Datasets - Cotabato Soil Data.csv
MACOLOD CLAY,1947,250000,Cotabato,MACOLOD CLAY,CotabatoProvince_SoilMap,SOIL,325.0,0,0,KODA_Datasets - Cotabato Soil Data.csv
KABACAN CLAY LOAM,1947,250000,Cotabato,KABACAN CLAY LOAM,CotabatoProvince_SoilMap,SOIL,453.0,0,0,KODA_Datasets - Cotabato Soil Data.csv
TINAMBULAN PEAT,1947,250000,Cotabato,TINAMBULAN PEAT,CotabatoProvince_SoilMap,SOIL,457.0,0,0,KODA_Datasets - Cotabato Soil Data.csv
LUTAYAN SANDY LOAM,1947,250000,Cotabato,LUTAYAN SANDY LOAM,CotabatoProvince_SoilMap,SOIL,443.0,0,0,KODA_Datasets - Cotabato Soil Data.csv
NEW ILOILO FINE SANDY LOAM,1947,250000,Cotabato,NEW ILOILO FINE SANDY LOAM,CotabatoProvince_SoilMap,SOIL,445.0,0,0,KODA_Datasets - Cotabato Soil Data.csv
DADIANGAS LOAMY SAND,1947,250000,Cotabato,DADIANGAS LOAMY SAND,CotabatoProvince_SoilMap,SOIL,438.0,0,0,KODA_Datasets - Cotabato Soil Data.csv
BANGO SAND LOAM,1947,250000,Cotabato,BANGO SAND LOAM,CotabatoProvince_SoilMap,SOIL,440.0,0,0,KODA_Datasets - Cotabato Soil Data.csv
MATULAS FINE SANDY LOAM,1947,250000,Cotabato,MATULAS FINE SANDY LOAM,CotabatoProvince_SoilMap,SOIL,447.0,0,0,KODA_Datasets - Cotabato Soil Data.csv
FARAON CLAY,1947,250000,Cotabato,FARAON CLAY,CotabatoProvince_SoilMap,SOIL,132.0,0,0,KODA_Datasets - Cotabato Soil Data.csv
SINOLAN SANDY LOAM,1947,250000,Cotabato,SINOLAN SANDY LOAM,CotabatoProvince_SoilMap,SOIL,441.0,0,0,KODA_Datasets - Cotabato Soil Data.csv
,1947,250000,Cotabato,,CotabatoProvince_SoilMap,SOIL,,0,0,KODA_Datasets - Cotabato Soil Data.csv
DALICAN CLAY LOAM,1947,250000,Cotabato,DALICAN CLAY LOAM,CotabatoProvince_SoilMap,SOIL,639.0,0,0,KODA_Datasets - Cotabato Soil Data.csv
SAN MANUEL SILTY CLAY LOAM,1947,250000,Cotabato,SAN MANUEL SILTY CLAY LOAM,CotabatoProvince_SoilMap,SOIL,94.0,0,0,KODA_Datasets - Cotabato Soil Data.csv
TACLOBAN CLAY,1947,250000,Cotabato,TACLOBAN CLAY,CotabatoProvince_SoilMap,SOIL,194.0,0,0,KODA_Datasets - Cotabato Soil Data.csv
AROMAN CLAY LOAM,1947,250000,Cotabato,AROMAN CLAY LOAM,CotabatoProvince_SoilMap,SOIL,449.0,0,0,KODA_Datasets - Cotabato Soil Data.csv
KABACAN CLAY,1947,250000,Cotabato,KABACAN CLAY,CotabatoProvince_SoilMap,SOIL,452.0,0,0,KODA_Datasets - Cotabato Soil Data.csv
KUDARANGAN CLAY,1947,250000,Cotabato,KUDARANGAN CLAY,CotabatoProvince_SoilMap,SOIL,448.0,0,0,KODA_Datasets - Cotabato Soil Data.csv
SAN MANUEL GRAVELLY LOAM,1947,250000,Cotabato,SAN MANUEL GRAVELLY LOAM,CotabatoProvince_SoilMap,SOIL,456.0,0,0,KODA_Datasets - Cotabato Soil Data.csv
BALUT CLAY LOAM,1947,250000,Cotabato,BALUT CLAY LOAM,CotabatoProvince_SoilMap,SOIL,434.0,0,0,KODA_Datasets - Cotabato Soil Data.csv
RIVERWASH,1947,250000,Cotabato,RIVERWASH,CotabatoProvince_SoilMap,SOIL,152.0,0,0,KODA_Datasets - Cotabato Soil Data.csv
BULDUN SANDY LOAM,1947,250000,Cotabato,BULDUN SANDY LOAM,CotabatoProvince_SoilMap,SOIL,432.0,0,0,KODA_Datasets - Cotabato Soil Data.csv
LANGKONG SANDY LOAM,1947,250000,Cotabato,LANGKONG SANDY LOAM,CotabatoProvince_SoilMap,SOIL,458.0,0,0,KODA_Datasets - Cotabato Soil Data.csv
,1947,50000,Davao Oriental,SAN MANUEL SILTY CLAY LOAM,Davao_SoilMap,SOIL,94.0,0,0,KODA_Datasets - Davao Soil Data.csv
