descrip,mapdate,mapscale,province,category,source,maptype,class,shape_leng,shape_area,,Source: https://sites.google.com/view/map-portal/downloadable-maps/soil?authuser=0
HYDROSOL                                                                                                                                                                                                                                                      ,1969,250000,Zamboanga del Norte                               ,HYDROSOL                                                                                                                                                                                                                                                      ,ZamboangaDelNorte_SoilMap                                                                                                                                                                                                                                     ,SOIL                                              ,1,0,0,,
S. MANUEL CLAY LOAM                                                                                                                                                                                                                                           ,1969,250000,Zamboanga del Norte                               ,S. MANUEL CLAY LOAM                                                                                                                                                                                                                                           ,ZamboangaDelNorte_SoilMap                                                                                                                                                                                                                                     ,SOIL                                              ,236,0,0,,
ROCK LAND                                                                                                                                                                                                                                                     ,1969,250000,Zamboanga del Norte                               ,ROCK LAND                                                                                                                                                                                                                                                     ,ZamboangaDelNorte_SoilMap                                                                                                                                                                                                                                     ,SOIL                                              ,599,0,0,,
DOHINOB CLAY                                                                                                                                                                                                                                                  ,1969,250000,Zamboanga del Norte                               ,DOHINOB CLAY                                                                                                                                                                                                                                                  ,ZamboangaDelNorte_SoilMap                                                                                                                                                                                                                                     ,SOIL                                              ,727,0,0,,
MANDAW CLAY LOAM                                                                                                                                                                                                                                              ,1969,250000,Zamboanga del Norte                               ,MANDAW CLAY LOAM                                                                                                                                                                                                                                              ,ZamboangaDelNorte_SoilMap                                                                                                                                                                                                                                     ,SOIL                                              ,157,0,0,,
ISABELA CLAY                                                                                                                                                                                                                                                  ,1969,250000,Zamboanga del Norte                               ,ISABELA CLAY                                                                                                                                                                                                                                                  ,ZamboangaDelNorte_SoilMap                                                                                                                                                                                                                                     ,SOIL                                              ,256,0,0,,
PANABOTAN SANDY LOAM                                                                                                                                                                                                                                          ,1969,250000,Zamboanga del Norte                               ,PANABOTAN SANDY LOAM                                                                                                                                                                                                                                          ,ZamboangaDelNorte_SoilMap                                                                                                                                                                                                                                     ,SOIL                                              ,1015,0,0,,
SILAY LOAMY SAND                                                                                                                                                                                                                                              ,1969,250000,Zamboanga del Norte                               ,SILAY LOAMY SAND                                                                                                                                                                                                                                              ,ZamboangaDelNorte_SoilMap                                                                                                                                                                                                                                     ,SOIL                                              ,1072,0,0,,
ADUTYON CLAY                                                                                                                                                                                                                                                  ,1969,250000,Zamboanga del Norte                               ,ADUTYON CLAY                                                                                                                                                                                                                                                  ,ZamboangaDelNorte_SoilMap                                                                                                                                                                                                                                     ,SOIL                                              ,323,0,0,,
LAWIGAN LOAMY SAND                                                                                                                                                                                                                                            ,1969,250000,Zamboanga del Norte                               ,LAWIGAN LOAMY SAND                                                                                                                                                                                                                                            ,ZamboangaDelNorte_SoilMap                                                                                                                                                                                                                                     ,SOIL                                              ,1014,0,0,,
MIRAL SANDY LOAM                                                                                                                                                                                                                                              ,1969,250000,Zamboanga del Norte                               ,MIRAL SANDY LOAM                                                                                                                                                                                                                                              ,ZamboangaDelNorte_SoilMap                                                                                                                                                                                                                                     ,SOIL                                              ,1073,0,0,,
S. MANUEL CLAY LOAM                                                                                                                                                                                                                                           ,1969,250000,Zamboanga del Norte                               ,S. MANUEL CLAY LOAM                                                                                                                                                                                                                                           ,ZamboangaDelNorte_SoilMap                                                                                                                                                                                                                                     ,SOIL                                              ,236,0,0,,
BOLINAO CLAY                                                                                                                                                                                                                                                  ,1969,250000,Zamboanga del Norte                               ,BOLINAO CLAY                                                                                                                                                                                                                                                  ,ZamboangaDelNorte_SoilMap                                                                                                                                                                                                                                     ,SOIL                                              ,153,0,0,,
S. MANUEL CLAY LOAM                                                                                                                                                                                                                                           ,1969,250000,Zamboanga del Norte                               ,S. MANUEL CLAY LOAM                                                                                                                                                                                                                                           ,ZamboangaDelNorte_SoilMap                                                                                                                                                                                                                                     ,SOIL                                              ,236,0,0,,
QUINQUD CLAY LOAM                                                                                                                                                                                                                                             ,1969,250000,Zamboanga del Norte                               ,QUINQUD CLAY LOAM                                                                                                                                                                                                                                             ,ZamboangaDelNorte_SoilMap                                                                                                                                                                                                                                     ,SOIL                                              ,109,0,0,,
QUINQUD CLAY LOAM                                                                                                                                                                                                                                             ,1969,250000,Zamboanga del Norte                               ,QUINQUD CLAY LOAM                                                                                                                                                                                                                                             ,ZamboangaDelNorte_SoilMap                                                                                                                                                                                                                                     ,SOIL                                              ,109,0,0,,
QUINQUD CLAY LOAM                                                                                                                                                                                                                                             ,1969,250000,Zamboanga del Norte                               ,QUINQUD CLAY LOAM                                                                                                                                                                                                                                             ,ZamboangaDelNorte_SoilMap                                                                                                                                                                                                                                     ,SOIL                                              ,109,0,0,,
S. MANUEL CLAY LOAM                                                                                                                                                                                                                                           ,1969,250000,Zamboanga del Norte                               ,S. MANUEL CLAY LOAM                                                                                                                                                                                                                                           ,ZamboangaDelNorte_SoilMap                                                                                                                                                                                                                                     ,SOIL                                              ,236,0,0,,
LIMESTONE ROCK LAND                                                                                                                                                                                                                                           ,1969,250000,Zamboanga del Norte                               ,LIMESTONE ROCK LAND                                                                                                                                                                                                                                           ,ZamboangaDelNorte_SoilMap                                                                                                                                                                                                                                     ,SOIL                                              ,581,0,0,,
BOLINAO CLAY                                                                                                                                                                                                                                                  ,1969,250000,Zamboanga del Norte                               ,BOLINAO CLAY                                                                                                                                                                                                                                                  ,ZamboangaDelNorte_SoilMap                                                                                                                                                                                                                                     ,SOIL                                              ,153,0,0,,
PAETE LOAM                                                                                                                                                                                                                                                    ,1969,250000,Zamboanga del Norte                               ,PAETE LOAM                                                                                                                                                                                                                                                    ,ZamboangaDelNorte_SoilMap                                                                                                                                                                                                                                     ,SOIL                                              ,1074,0,0,,
MANDAW CLAY LOAM                                                                                                                                                                                                                                              ,1969,250000,Zamboanga del Norte                               ,MANDAW CLAY LOAM                                                                                                                                                                                                                                              ,ZamboangaDelNorte_SoilMap                                                                                                                                                                                                                                     ,SOIL                                              ,157,0,0,,
S. MANUEL CLAY LOAM                                                                                                                                                                                                                                           ,1969,250000,Zamboanga del Norte                               ,S. MANUEL CLAY LOAM                                                                                                                                                                                                                                           ,ZamboangaDelNorte_SoilMap                                                                                                                                                                                                                                     ,SOIL                                              ,236,0,0,,
QUINQUD CLAY LOAM                                                                                                                                                                                                                                             ,1969,250000,Zamboanga del Norte                               ,QUINQUD CLAY LOAM                                                                                                                                                                                                                                             ,ZamboangaDelNorte_SoilMap                                                                                                                                                                                                                                     ,SOIL                                              ,109,0,0,,
QUINQUD CLAY LOAM                                                                                                                                                                                                                                             ,1969,250000,Zamboanga del Norte                               ,QUINQUD CLAY LOAM                                                                                                                                                                                                                                             ,ZamboangaDelNorte_SoilMap                                                                                                                                                                                                                                     ,SOIL                                              ,109,0,0,,
LIMESTONE ROCK LAND                                                                                                                                                                                                                                           ,1969,250000,Zamboanga del Norte                               ,LIMESTONE ROCK LAND                                                                                                                                                                                                                                           ,ZamboangaDelNorte_SoilMap                                                                                                                                                                                                                                     ,SOIL                                              ,581,0,0,,
BOLINCO-PAONANCO DOHINOB COMPLEX                                                                                                                                                                                                                              ,1969,250000,Zamboanga del Norte                               ,BOLINCO-PAONANCO DOHINOB COMPLEX                                                                                                                                                                                                                              ,ZamboangaDelNorte_SoilMap                                                                                                                                                                                                                                     ,SOIL                                              ,1016,0,0,,
MANDAW CLAY LOAM                                                                                                                                                                                                                                              ,1969,250000,Zamboanga del Norte                               ,MANDAW CLAY LOAM                                                                                                                                                                                                                                              ,ZamboangaDelNorte_SoilMap                                                                                                                                                                                                                                     ,SOIL                                              ,157,0,0,,
MANDAW CLAY LOAM                                                                                                                                                                                                                                              ,1969,250000,Zamboanga del Norte                               ,MANDAW CLAY LOAM                                                                                                                                                                                                                                              ,ZamboangaDelNorte_SoilMap                                                                                                                                                                                                                                     ,SOIL                                              ,157,0,0,,
MANDAW CLAY LOAM                                                                                                                                                                                                                                              ,1969,250000,Zamboanga del Norte                               ,MANDAW CLAY LOAM                                                                                                                                                                                                                                              ,ZamboangaDelNorte_SoilMap                                                                                                                                                                                                                                     ,SOIL                                              ,157,0,0,,
MANDAW CLAY LOAM                                                                                                                                                                                                                                              ,1969,250000,Zamboanga del Norte                               ,MANDAW CLAY LOAM                                                                                                                                                                                                                                              ,ZamboangaDelNorte_SoilMap                                                                                                                                                                                                                                     ,SOIL                                              ,157,0,0,,
QUINQUD CLAY LOAM                                                                                                                                                                                                                                             ,1969,250000,Zamboanga del Norte                               ,QUINQUD CLAY LOAM                                                                                                                                                                                                                                             ,ZamboangaDelNorte_SoilMap                                                                                                                                                                                                                                     ,SOIL                                              ,109,0,0,,
S. MANUEL CLAY LOAM                                                                                                                                                                                                                                           ,1969,250000,Zamboanga del Norte                               ,S. MANUEL CLAY LOAM                                                                                                                                                                                                                                           ,ZamboangaDelNorte_SoilMap                                                                                                                                                                                                                                     ,SOIL                                              ,236,0,0,,
