descrip,mapdate,mapscale,province,category,source,maptype,class,shape_leng,shape_area,,Source: https://sites.google.com/view/map-portal/downloadable-maps/soil?authuser=0
MOUNTAIN SOILS                                                                                                                                                                                                                                                ,Unknown   ,50000,Misamis Oriental                                  ,MOUNTAIN SOILS                                                                                                                                                                                                                                                ,MisamisOriental_SoilMap                                                                                                                                                                                                                                       ,Soil                                              ,45,0,0,,
MOUNTAIN SOILS                                                                                                                                                                                                                                                ,Unknown   ,50000,Misamis Oriental                                  ,MOUNTAIN SOILS                                                                                                                                                                                                                                                ,MisamisOriental_SoilMap                                                                                                                                                                                                                                       ,Soil                                              ,45,0,0,,
UMINGAN CLAY LOAM                                                                                                                                                                                                                                             ,Unknown   ,50000,Misamis Oriental                                  ,UMINGAN CLAY LOAM                                                                                                                                                                                                                                             ,MisamisOriental_SoilMap                                                                                                                                                                                                                                       ,Soil                                              ,168,0,0,,
BEACH SAND                                                                                                                                                                                                                                                    ,Unknown   ,50000,Misamis Oriental                                  ,BEACH SAND                                                                                                                                                                                                                                                    ,MisamisOriental_SoilMap                                                                                                                                                                                                                                       ,Soil                                              ,118,0,0,,
BOLINAO CLAY                                                                                                                                                                                                                                                  ,Unknown   ,50000,Misamis Oriental                                  ,BOLINAO CLAY                                                                                                                                                                                                                                                  ,MisamisOriental_SoilMap                                                                                                                                                                                                                                       ,Soil                                              ,153,0,0,,
BANTOG CLAY                                                                                                                                                                                                                                                   ,Unknown   ,50000,Misamis Oriental                                  ,BANTOG CLAY                                                                                                                                                                                                                                                   ,MisamisOriental_SoilMap                                                                                                                                                                                                                                       ,Soil                                              ,228,0,0,,
HYDROSOL                                                                                                                                                                                                                                                      ,Unknown   ,50000,Misamis Oriental                                  ,HYDROSOL                                                                                                                                                                                                                                                      ,MisamisOriental_SoilMap                                                                                                                                                                                                                                       ,Soil                                              ,1,0,0,,
                                                                                                                                                                                                                                                              ,Unknown   ,50000,Misamis Oriental                                  ,                                                                                                                                                                                                                                                              ,MisamisOriental_SoilMap                                                                                                                                                                                                                                       ,Soil                                              ,               ,0,0,,
MATINA CLAY                                                                                                                                                                                                                                                   ,Unknown   ,50000,Misamis Oriental                                  ,MATINA CLAY                                                                                                                                                                                                                                                   ,MisamisOriental_SoilMap                                                                                                                                                                                                                                       ,Soil                                              ,206,0,0,,
SAN MANUEL LOAM                                                                                                                                                                                                                                               ,Unknown   ,50000,Misamis Oriental                                  ,SAN MANUEL LOAM                                                                                                                                                                                                                                               ,MisamisOriental_SoilMap                                                                                                                                                                                                                                       ,Soil                                              ,190,0,0,,
BEACH SAND                                                                                                                                                                                                                                                    ,Unknown   ,50000,Misamis Oriental                                  ,BEACH SAND                                                                                                                                                                                                                                                    ,MisamisOriental_SoilMap                                                                                                                                                                                                                                       ,Soil                                              ,118,0,0,,
MATINA CLAY                                                                                                                                                                                                                                                   ,Unknown   ,50000,Misamis Oriental                                  ,MATINA CLAY                                                                                                                                                                                                                                                   ,MisamisOriental_SoilMap                                                                                                                                                                                                                                       ,Soil                                              ,206,0,0,,
JASOAN CLAY STONY PHASE                                                                                                                                                                                                                                       ,Unknown   ,50000,Misamis Oriental                                  ,JASOAN CLAY STONY PHASE                                                                                                                                                                                                                                       ,MisamisOriental_SoilMap                                                                                                                                                                                                                                       ,Soil                                              ,319,0,0,,
BOLINAO CLAY                                                                                                                                                                                                                                                  ,Unknown   ,50000,Misamis Oriental                                  ,BOLINAO CLAY                                                                                                                                                                                                                                                  ,MisamisOriental_SoilMap                                                                                                                                                                                                                                       ,Soil                                              ,153,0,0,,
SAN MANUEL LOAM                                                                                                                                                                                                                                               ,Unknown   ,50000,Misamis Oriental                                  ,SAN MANUEL LOAM                                                                                                                                                                                                                                               ,MisamisOriental_SoilMap                                                                                                                                                                                                                                       ,Soil                                              ,190,0,0,,
