descrip,mapdate,mapscale,province,category,source,maptype,class,shape_leng,shape_area,,Source: https://sites.google.com/view/map-portal/downloadable-maps/soil?authuser=0
LA COSTALLENA CLAYLOAM                                                                                                                                                                                                                                        ,1947,250000,Cotabato                                          ,LA COSTALLENA CLAYLOAM                                                                                                                                                                                                                                        ,CotabatoProvince_SoilMap                                                                                                                                                                                                                                      ,SOIL                                              ,305,0,0,,
MACOLOD CLAY                                                                                                                                                                                                                                                  ,1947,250000,Cotabato                                          ,MACOLOD CLAY                                                                                                                                                                                                                                                  ,CotabatoProvince_SoilMap                                                                                                                                                                                                                                      ,SOIL                                              ,325,0,0,,
"SOILS, UNDIFFERENTIATED                                                                                                                                                                                                                                       ",1947,250000,Cotabato                                          ,"SOILS, UNDIFFERENTIATED                                                                                                                                                                                                                                       ",CotabatoProvince_SoilMap                                                                                                                                                                                                                                      ,SOIL                                              ,433,0,0,,
"SOILS, UNDIFFERENTIATED                                                                                                                                                                                                                                       ",1947,250000,Cotabato                                          ,"SOILS, UNDIFFERENTIATED                                                                                                                                                                                                                                       ",CotabatoProvince_SoilMap                                                                                                                                                                                                                                      ,SOIL                                              ,433,0,0,,
MOUNTAIN SOILS                                                                                                                                                                                                                                                ,1947,250000,Cotabato                                          ,MOUNTAIN SOILS                                                                                                                                                                                                                                                ,CotabatoProvince_SoilMap                                                                                                                                                                                                                                      ,SOIL                                              ,45,0,0,,
KABACAN CLAY LOAM                                                                                                                                                                                                                                             ,1947,250000,Cotabato                                          ,KABACAN CLAY LOAM                                                                                                                                                                                                                                             ,CotabatoProvince_SoilMap                                                                                                                                                                                                                                      ,SOIL                                              ,453,0,0,,
MOUNTAIN SOILS                                                                                                                                                                                                                                                ,1947,250000,Cotabato                                          ,MOUNTAIN SOILS                                                                                                                                                                                                                                                ,CotabatoProvince_SoilMap                                                                                                                                                                                                                                      ,SOIL                                              ,45,0,0,,
TINAMBULAN PEAT                                                                                                                                                                                                                                               ,1947,250000,Cotabato                                          ,TINAMBULAN PEAT                                                                                                                                                                                                                                               ,CotabatoProvince_SoilMap                                                                                                                                                                                                                                      ,SOIL                                              ,457,0,0,,
LUTAYAN SANDY LOAM                                                                                                                                                                                                                                            ,1947,250000,Cotabato                                          ,LUTAYAN SANDY LOAM                                                                                                                                                                                                                                            ,CotabatoProvince_SoilMap                                                                                                                                                                                                                                      ,SOIL                                              ,443,0,0,,
NEW ILOILO FINE SANDY LOAM                                                                                                                                                                                                                                    ,1947,250000,Cotabato                                          ,NEW ILOILO FINE SANDY LOAM                                                                                                                                                                                                                                    ,CotabatoProvince_SoilMap                                                                                                                                                                                                                                      ,SOIL                                              ,445,0,0,,
DADIANGAS LOAMY SAND                                                                                                                                                                                                                                          ,1947,250000,Cotabato                                          ,DADIANGAS LOAMY SAND                                                                                                                                                                                                                                          ,CotabatoProvince_SoilMap                                                                                                                                                                                                                                      ,SOIL                                              ,438,0,0,,
BANGO SAND LOAM                                                                                                                                                                                                                                               ,1947,250000,Cotabato                                          ,BANGO SAND LOAM                                                                                                                                                                                                                                               ,CotabatoProvince_SoilMap                                                                                                                                                                                                                                      ,SOIL                                              ,440,0,0,,
MATULAS FINE SANDY LOAM                                                                                                                                                                                                                                       ,1947,250000,Cotabato                                          ,MATULAS FINE SANDY LOAM                                                                                                                                                                                                                                       ,CotabatoProvince_SoilMap                                                                                                                                                                                                                                      ,SOIL                                              ,447,0,0,,
FARAON CLAY                                                                                                                                                                                                                                                   ,1947,250000,Cotabato                                          ,FARAON CLAY                                                                                                                                                                                                                                                   ,CotabatoProvince_SoilMap                                                                                                                                                                                                                                      ,SOIL                                              ,132,0,0,,
SINOLAN SANDY LOAM                                                                                                                                                                                                                                            ,1947,250000,Cotabato                                          ,SINOLAN SANDY LOAM                                                                                                                                                                                                                                            ,CotabatoProvince_SoilMap                                                                                                                                                                                                                                      ,SOIL                                              ,441,0,0,,
UNKNOWN                                                                                                                                                                                                                                                       ,1947,250000,Cotabato                                          ,UNKNOWN                                                                                                                                                                                                                                                       ,CotabatoProvince_SoilMap                                                                                                                                                                                                                                      ,SOIL                                              ,UNKNOWN        ,0,0,,
"SOILS, UNDIFFERENTIATED                                                                                                                                                                                                                                       ",1947,250000,Cotabato                                          ,"SOILS, UNDIFFERENTIATED                                                                                                                                                                                                                                       ",CotabatoProvince_SoilMap                                                                                                                                                                                                                                      ,SOIL                                              ,433,0,0,,
BANGO SAND LOAM                                                                                                                                                                                                                                               ,1947,250000,Cotabato                                          ,BANGO SAND LOAM                                                                                                                                                                                                                                               ,CotabatoProvince_SoilMap                                                                                                                                                                                                                                      ,SOIL                                              ,440,0,0,,
TIMAGA CLAY LOAM                                                                                                                                                                                                                                              ,1947,250000,Cotabato                                          ,TIMAGA CLAY LOAM                                                                                                                                                                                                                                              ,CotabatoProvince_SoilMap                                                                                                                                                                                                                                      ,SOIL                                              ,630,0,0,,
HYDROSOL                                                                                                                                                                                                                                                      ,1947,250000,Cotabato                                          ,HYDROSOL                                                                                                                                                                                                                                                      ,CotabatoProvince_SoilMap                                                                                                                                                                                                                                      ,SOIL                                              ,1,0,0,,
DALICAN CLAY LOAM                                                                                                                                                                                                                                             ,1947,250000,Cotabato                                          ,DALICAN CLAY LOAM                                                                                                                                                                                                                                             ,CotabatoProvince_SoilMap                                                                                                                                                                                                                                      ,SOIL                                              ,639,0,0,,
LUTAYAN SANDY LOAM                                                                                                                                                                                                                                            ,1947,250000,Cotabato                                          ,LUTAYAN SANDY LOAM                                                                                                                                                                                                                                            ,CotabatoProvince_SoilMap                                                                                                                                                                                                                                      ,SOIL                                              ,443,0,0,,
HYDROSOL                                                                                                                                                                                                                                                      ,1947,250000,Cotabato                                          ,HYDROSOL                                                                                                                                                                                                                                                      ,CotabatoProvince_SoilMap                                                                                                                                                                                                                                      ,SOIL                                              ,1,0,0,,
SAN MANUEL SILTY CLAY LOAM                                                                                                                                                                                                                                    ,1947,250000,Cotabato                                          ,SAN MANUEL SILTY CLAY LOAM                                                                                                                                                                                                                                    ,CotabatoProvince_SoilMap                                                                                                                                                                                                                                      ,SOIL                                              ,94,0,0,,
FARAON CLAY                                                                                                                                                                                                                                                   ,1947,250000,Cotabato                                          ,FARAON CLAY                                                                                                                                                                                                                                                   ,CotabatoProvince_SoilMap                                                                                                                                                                                                                                      ,SOIL                                              ,132,0,0,,
PARANG CLAY LOAM                                                                                                                                                                                                                                              ,1947,250000,Cotabato                                          ,PARANG CLAY LOAM                                                                                                                                                                                                                                              ,CotabatoProvince_SoilMap                                                                                                                                                                                                                                      ,SOIL                                              ,431,0,0,,
HYDROSOL                                                                                                                                                                                                                                                      ,1947,250000,Cotabato                                          ,HYDROSOL                                                                                                                                                                                                                                                      ,CotabatoProvince_SoilMap                                                                                                                                                                                                                                      ,SOIL                                              ,1,0,0,,
FARAON CLAY                                                                                                                                                                                                                                                   ,1947,250000,Cotabato                                          ,FARAON CLAY                                                                                                                                                                                                                                                   ,CotabatoProvince_SoilMap                                                                                                                                                                                                                                      ,SOIL                                              ,132,0,0,,
TIMAGA CLAY LOAM                                                                                                                                                                                                                                              ,1947,250000,Cotabato                                          ,TIMAGA CLAY LOAM                                                                                                                                                                                                                                              ,CotabatoProvince_SoilMap                                                                                                                                                                                                                                      ,SOIL                                              ,630,0,0,,
KIDAPOWAN CLAY LOAM                                                                                                                                                                                                                                           ,1947,250000,Cotabato                                          ,KIDAPOWAN CLAY LOAM                                                                                                                                                                                                                                           ,CotabatoProvince_SoilMap                                                                                                                                                                                                                                      ,SOIL                                              ,211,0,0,,
TACLOBAN CLAY                                                                                                                                                                                                                                                 ,1947,250000,Cotabato                                          ,TACLOBAN CLAY                                                                                                                                                                                                                                                 ,CotabatoProvince_SoilMap                                                                                                                                                                                                                                      ,SOIL                                              ,194,0,0,,
FARAON CLAY                                                                                                                                                                                                                                                   ,1947,250000,Cotabato                                          ,FARAON CLAY                                                                                                                                                                                                                                                   ,CotabatoProvince_SoilMap                                                                                                                                                                                                                                      ,SOIL                                              ,132,0,0,,
AROMAN CLAY LOAM                                                                                                                                                                                                                                              ,1947,250000,Cotabato                                          ,AROMAN CLAY LOAM                                                                                                                                                                                                                                              ,CotabatoProvince_SoilMap                                                                                                                                                                                                                                      ,SOIL                                              ,449,0,0,,
KABACAN CLAY                                                                                                                                                                                                                                                  ,1947,250000,Cotabato                                          ,KABACAN CLAY                                                                                                                                                                                                                                                  ,CotabatoProvince_SoilMap                                                                                                                                                                                                                                      ,SOIL                                              ,452,0,0,,
KUDARANGAN CLAY                                                                                                                                                                                                                                               ,1947,250000,Cotabato                                          ,KUDARANGAN CLAY                                                                                                                                                                                                                                               ,CotabatoProvince_SoilMap                                                                                                                                                                                                                                      ,SOIL                                              ,448,0,0,,
TAMONTAKA CLAY                                                                                                                                                                                                                                                ,1947,250000,Cotabato                                          ,TAMONTAKA CLAY                                                                                                                                                                                                                                                ,CotabatoProvince_SoilMap                                                                                                                                                                                                                                      ,SOIL                                              ,435,0,0,,
FARAON CLAY                                                                                                                                                                                                                                                   ,1947,250000,Cotabato                                          ,FARAON CLAY                                                                                                                                                                                                                                                   ,CotabatoProvince_SoilMap                                                                                                                                                                                                                                      ,SOIL                                              ,132,0,0,,
SAN MANUEL GRAVELLY LOAM                                                                                                                                                                                                                                      ,1947,250000,Cotabato                                          ,SAN MANUEL GRAVELLY LOAM                                                                                                                                                                                                                                      ,CotabatoProvince_SoilMap                                                                                                                                                                                                                                      ,SOIL                                              ,456,0,0,,
SAN MANUEL LOAM                                                                                                                                                                                                                                               ,1947,250000,Cotabato                                          ,SAN MANUEL LOAM                                                                                                                                                                                                                                               ,CotabatoProvince_SoilMap                                                                                                                                                                                                                                      ,SOIL                                              ,190,0,0,,
BALUT CLAY LOAM                                                                                                                                                                                                                                               ,1947,250000,Cotabato                                          ,BALUT CLAY LOAM                                                                                                                                                                                                                                               ,CotabatoProvince_SoilMap                                                                                                                                                                                                                                      ,SOIL                                              ,434,0,0,,
RIVERWASH                                                                                                                                                                                                                                                     ,1947,250000,Cotabato                                          ,RIVERWASH                                                                                                                                                                                                                                                     ,CotabatoProvince_SoilMap                                                                                                                                                                                                                                      ,SOIL                                              ,152,0,0,,
KUDARANGAN CLAY                                                                                                                                                                                                                                               ,1947,250000,Cotabato                                          ,KUDARANGAN CLAY                                                                                                                                                                                                                                               ,CotabatoProvince_SoilMap                                                                                                                                                                                                                                      ,SOIL                                              ,448,0,0,,
FARAON CLAY                                                                                                                                                                                                                                                   ,1947,250000,Cotabato                                          ,FARAON CLAY                                                                                                                                                                                                                                                   ,CotabatoProvince_SoilMap                                                                                                                                                                                                                                      ,SOIL                                              ,132,0,0,,
KUDARANGAN CLAY                                                                                                                                                                                                                                               ,1947,250000,Cotabato                                          ,KUDARANGAN CLAY                                                                                                                                                                                                                                               ,CotabatoProvince_SoilMap                                                                                                                                                                                                                                      ,SOIL                                              ,448,0,0,,
MOUNTAIN SOILS                                                                                                                                                                                                                                                ,1947,250000,Cotabato                                          ,MOUNTAIN SOILS                                                                                                                                                                                                                                                ,CotabatoProvince_SoilMap                                                                                                                                                                                                                                      ,SOIL                                              ,45,0,0,,
BULDUN SANDY LOAM                                                                                                                                                                                                                                             ,1947,250000,Cotabato                                          ,BULDUN SANDY LOAM                                                                                                                                                                                                                                             ,CotabatoProvince_SoilMap                                                                                                                                                                                                                                      ,SOIL                                              ,432,0,0,,
LANGKONG SANDY LOAM                                                                                                                                                                                                                                           ,1947,250000,Cotabato                                          ,LANGKONG SANDY LOAM                                                                                                                                                                                                                                           ,CotabatoProvince_SoilMap                                                                                                                                                                                                                                      ,SOIL                                              ,458,0,0,,
HYDROSOL                                                                                                                                                                                                                                                      ,1947,250000,Cotabato                                          ,HYDROSOL                                                                                                                                                                                                                                                      ,CotabatoProvince_SoilMap                                                                                                                                                                                                                                      ,SOIL                                              ,1,0,0,,
FARAON CLAY                                                                                                                                                                                                                                                   ,1947,250000,Cotabato                                          ,FARAON CLAY                                                                                                                                                                                                                                                   ,CotabatoProvince_SoilMap                                                                                                                                                                                                                                      ,SOIL                                              ,132,0,0,,
TACLOBAN CLAY                                                                                                                                                                                                                                                 ,1947,250000,Cotabato                                          ,TACLOBAN CLAY                                                                                                                                                                                                                                                 ,CotabatoProvince_SoilMap                                                                                                                                                                                                                                      ,SOIL                                              ,194,0,0,,
NEW ILOILO FINE SANDY LOAM                                                                                                                                                                                                                                    ,1947,250000,Cotabato                                          ,NEW ILOILO FINE SANDY LOAM                                                                                                                                                                                                                                    ,CotabatoProvince_SoilMap                                                                                                                                                                                                                                      ,SOIL                                              ,445,0,0,,
SAN MANUEL SILTY CLAY LOAM                                                                                                                                                                                                                                    ,1947,250000,Cotabato                                          ,SAN MANUEL SILTY CLAY LOAM                                                                                                                                                                                                                                    ,CotabatoProvince_SoilMap                                                                                                                                                                                                                                      ,SOIL                                              ,94,0,0,,
