"SOILDESC,C,60","AEZ,C,10","SoilSeries,C,30","Hectares,N,19,11",,Source: https://www.bswm.da.gov.ph/bswm-maps/?
"Tarlac clay loam, gravelly phase",Uplands,Tarlac,3161.64958,,
Tarlac sandy clay loam,Uplands,Tarlac,18100.67631,,
Tarlac soils,Uplands,Tarlac,87320.3013,,
Tarug-Faraon complex,Highlands,Tarug,1924.683973,,
Tarug clay loam,Highlands,Tarug,1396.418391,,
Tigaon clay,Highlands,Tigaon,68719.64173,,
Timbo clay loam,Uplands,Timbo,3872.855011,,
Timaga clay loam,Uplands,Timaga,59811.66775,,
Tinambulan peat,Lowlands,Tinambulan,2515.101358,,
Tingib clay loam,Lowlands,Tingib,10163.23093,,
Titay sandy clay loam,Highlands,Titay,2236.48327,,
Toran loam,Lowlands,Toran,4116.574939,,
Toran silty clay,Lowlands,Toran,28094.96433,,
Tugbok clay,Uplands,Tugbok,86319.50867,,
Tuguis clay,Highlands,Tuguis,13277.01989,,
Tupi fine sandy loam,Uplands,Tupi,76930.72069,,
Tupi loam,Uplands,Tupi,14341.17916,,
Tupi silt loam,Uplands,Tupi,60774.84812,,
Ubay clay,Uplands,Ubay,243059.7018,,
Ubay clay loam,Uplands,Ubay,32449.06892,,
Ubay sandy loam,Uplands,Ubay,49365.20481,,
Umingan clay,Lowlands,Umingan,23098.04841,,
Umingan clay loam,Lowlands,Umingan,43339.82267,,
Umingan fine sandy loam,Lowlands,Umingan,18252.80893,,
Umingan loam,Lowlands,Umingan,35373.43524,,
"Umingan loam, deep phase",Lowlands,Umingan,3006.250667,,
Umingan sand,Lowlands,Umingan,11021.69716,,
Umingan sandy clay loam,Lowlands,Umingan,198.4971566,,
Umingan sandy loam,Lowlands,Umingan,46433.27419,,
Umingan silt loam,Lowlands,Umingan,59455.32786,,
Umingan silty clay loam,Lowlands,Umingan,1878.864966,,
Victorias clay loam,Uplands,Victorias,471.1486293,,
Villar sandy loam,Uplands,Villar,5498.678937,,
Virac loam,Lowlands,Virac,978.4223339,,
Zamboanguita clay loam,Uplands,Zamboanguita,14530.25361,,
Zamboanguita sandy loam,Uplands,Zamboanguita,10098.42989,,
Zaragosa clay,Lowlands,Zaragosa,14088.66356,,
